user_id:ID(users),name,review_count,fans
24uDtsT2ItNHjQG9s5jh5g,Elizabeth,98,8
xxL-DwwdT5VGvss9mCzOGg,Adam,1888,307
y3Wtx1pOvTiqsJRkjceXiw,Catherine,371,89
cJCiN7dtlGLW2-zApamFQA,Tricia,231,12
QhCfs4lkeWdJx7_lZdfCSA,Norry,651,135
IPxJLWpKptzpTWlfjFiuHA,Gordon,187,25
qurv1eJZswxUZaZqN53Meg,Kristie,1156,100
rMsB82tk9uOB6JumPMgczg,Brett,603,436
NqZJMXmwEtirJvx-qpyLmQ,Barrett,287,17
IZaWH5nva6mXn_MVxMHtlw,Sujan,355,19
8AowrKXa1girwkf1nDM1Lg,Bill,28,2
BPZEAoU0sB6CFGusTErUuA,Vince,1995,220
0S_i96G5FR7oYO3QeH_01Q,Joy,1416,140
R4QhWtWTnwI6qBZD02WRIA,Valerie,51,4
6WG2IGTVr-xKn0pYQZJGjw,Felicia,323,187
-hKniZN2OdshWLHYuj21jQ,Nicole,982,57
huayr-WjhExgJPIZcRhZIQ,Michelle,428,30
bon8_JZj5clcxf6weJ7nrw,Bobby,181,9
2OiyOHo7CQY05bFwY55HjA,Christopher,269,43
g3HFkZgloxLQCvoJ5Zs5gg,Jana,3152,236
q4-Nvtr-FlHxAZu66vm-ig,Joe,777,123
mx3H7ezr_6M08mIhirxsQA,Will,27,4
dF9DauP27z5pZRns-AGcPw,John,201,15
-O_FGGkZEeg509iOZADxDw,Su,259,21
kuhYz6erOHGKazHex8_KCQ,Ruth,138,7
y8jJV4AeH6ZEBagQ_ys8KQ,Jenny,919,71
bo-tTbOoIGvO3gPZE_z19Q,MoCe,164,1
wZPizeBxMAyOSl0M0zuCjg,Jess,5002,525
We9qK9M-oI6LUULbQo_InQ,angela,828,90
g35P2UgyRK1ercs6rVkN1Q,Seve',244,26
3ywXGq4PyUoR_XXDvK_RIA,Toni,729,77
IWxNILja-WvurTuJWJ4skA,Jeff,73,2
qTjcvqkIszo2otqIxGmbKw,Bradey,105,2
g_6QIWOCYV3fHWeC2rRPmw,Aboud,617,23
NF3vF7IJ1g4r0V4vVf5O8Q,J,89,8
CFyvX-AZh6cunAMu_zoF_w,Rosalie,173,8
VG7dOVRGeaGvJ7HISpfE9A,Marisol,222,22
7Swyec_XWQUSuPWDdfMiug,Brian,73,8
3PB1TY8e8NnnHBHTb96p7Q,Casey,227,17
r2xjNoW8T2d8eW08hsAIGw,Kristin,16,0
74eE-jgCGO24YKIci38UcQ,david,650,37
DSu2u70aNvFOZxEK1wMZ9A,Scott,123,1
uCAtWdcGvNDkJUxqBk8OBA,Fay,189,9
hJEsXEOTFIkhZOjpQsMEzQ,Nikia,25,0
hlPOotTeYCyd5TQAKpv5LQ,Meghan,1133,97
Oi1qbcz2m2SnwUeztGYcnQ,Steven,1371,739
x1_sp_rHxZtI8VLX_IF5cw,Lulu,72,62
bRzXn9p62VxUAMgU5dX8IQ,Brooke,544,24
PTmxRprtkgMtDTuHqb-7-A,Susanne,723,33
Sg5iPFH9AotTKRMVSaSaLQ,Ryan,29,7
gVUtrEhYXrmnVWDyW2VBqg,William,489,9
xoWBO-Q8eggololQumtC_Q,Anthony,172,5
uZzs_KFzSDFjpyVLyl7Pqg,Tara,168,13
EO1Cz15wYnHQ0aGc9T6tzw,Franco,2340,217
0eVKgGGxfLFTXYXDuJNa7A,Koko,133,7
qIVLLE6twbV_33WpiGIzDw,Jeff,65,3
GwlrUwkULm4ZLN-Kum5nag,Ian,4136,273
X-8WUdJ1hYidYXQygzTEBw,Meghan,533,33
eopmkPjbMQz9uh1hnZ8nhA,Ellie,176,11
_vUC1P0GfLAD5UrMPAEwjA,Jen,386,47
OTz5U2rzRfyaZhV_LwKzXg,Ken,150,8
yA7KZuswD0f_udzYIO-GHQ,Herb,84,7
neeKkwvkR0X4pB4z-eP-Lg,Stef,30,2
pzV7A5XSTK6zSPAxeAmaLA,Leanne,414,47
5G2IF0VIN3Brl-m45QDXsA,Alie,327,45
QAL5_dSr5Vi2nGBqqXIJqQ,Shashi,188,45
WOjG-RzH5eLKLIVYCORsjA,Kelly,18,1
xoo2FHfeyX49oD9NQc-FNw,Rebeka,7,1
Lrk7Q6eJcu1nyDdW0SMiKw,Natalie,140,12
gBpxjo01cpY_5stvzru46Q,Andrea,621,42
7W2C9UueAeb2xf25Qki-IQ,Austin,140,16
PJpnusLj4Zp6LIv7rM4jBg,Helen,24,1
MmqdWXP_vqlNnQSHRuyoYw,Wedge,25,1
XX1zm34nF9OS70WGAC6pEQ,David,917,50
8Mf7EsRxi0pYqwrnhoLlFw,Nick,28,0
pTvR_xN-sWY5-jakTKw1ag,Lisa,92,28
XrPQT1C7rlJtLHZFLmhojg,Janice,62,2
TR7ezcRznfr1Jif7euZZJg,Marlyn,794,185
fH9x1Krn_4TMftt6tXZNwA,Vivian,180,12
FWRwckNSS9Uc4FLfpDPlMA,Hilary,362,39
TOj5yZZEwS3J3fLgo3V3yQ,Kelly,1117,133
I6YARR1VloAua-buFULo1Q,Tanya,963,62
SIZOfo7jTjCXnL8ZtpM2aw,Lucy,1571,310
uUrpYFU-D-U76NRv5aVDdw,Jules,72,4
P-7VidyXqOGd6zBnT85pDA,Colin,497,25
KeuhteHe76DxDlXnkWoDwA,Erin,555,32
wzyGNvArcpUjZauRWFrKHA,Bill,2512,375
88Ij88GMC7tcIegOicRdYA,Rita,307,10
3qRovLbdNAPbrRwL4I7MNA,Vince,679,33
170h4iUYltfBW76EYoOjhA,Nate,68,5
BEKqU7GJDpDH-2rayfqiaQ,Dave,23,1
Uqv8B3vCJrT0_78HCCeokQ,Jared,351,55
RNzqCFcPkIXPf47jq_8s7g,Christine,168,38
LnZUtFx6qTWs8NV6lAARxQ,Lisa,1028,53
Slc16vviuuTWgZ9OsaJzKQ,Kamilah,213,5
h2LtQ1s5X20d0yrdqUMJ0Q,Christopher,1728,165
wWa9X07Cq8EVaqJrA5QKyA,Kevin,605,31
ybIoXWnrkfC12PJKTs7pJA,Joanna,748,88
NNgQ8fV5ARQgHw-Ob7l50A,Brad,1114,158
5qVOffJG-lv1hWR-4YdjQw,kirsten,4,0
lXcc2mdDhBRYW1UFwuF4Nw,Sandra,90,3
uKqkquINCbM-j2ZgvAfYsA,Stanley,307,16
eI8CvbpkkobsotX1jKnZ7w,Mela,451,19
pWqyPgFJpbj4z8of9pfv_w,Lissa,154,3
LrgYk-SWt9uAMobHKSuYwA,Jessica,101,2
ApJ9YgYU-AhS4a-F5oTGHw,Nicole,526,42
GLa-9-IU5EuLt5W8VWQDAQ,Lauren,663,45
WlgB9SAzYAyHEAlawc27xg,Anjali,188,30
8wQIoFapkegkC5fcVYg_Iw,Jamie,1148,104
2qW-VO3UxZSU6HSHQ7fh7Q,Devin,873,54
aJN3F3bS_ooe4rZx8rHmgA,Sid,512,37
plaAwbdAV_kua1K2ztZHVw,Lauren,111,18
wo632pzj23-Di2RakSugjQ,Jeff,1507,224
_7VEyrZ5gERe8sRRhqWGpw,Sarah,267,32
luoidj4uPysXg2rbQCEcjQ,Kelly,433,20
XQk-XZKwNim2fsc8_LHksA,Blake,176,63
Sb4aEQHKeVLxHnQpKdETGw,Abelle,1117,206
AmW5t2LjZb2zKKdyztxeoQ,Veronica,441,30
6KxHt1BnwkhMDGJZkEUW-Q,Jennifer,101,6
exDOIbSQ2S5hSwewrs1MVw,Elizabeth,431,28
hWDybu_KvYLSdEFzGrniTw,Bruce,16567,867
jZfIQN8ivTQFdzYRtMmChQ,Kim,114,25
7WM2hBgF3jChBib7gTg-MA,Dhawal,13,1
ZCVEZmTB_StK-UXA3WPVlQ,Zanna,523,73
UVg8BFOEEigQ-rfZk4urBQ,Paula,13,0
lnERjRtMzDPRIUkaKJJACA,Matt,164,4
Bq-BIdYrWloJXq6v6v_iiA,Alexa,279,6
WQnfyig39Xg5ni98ci-VBw,Laura,597,60
u8EgqDkF24x26DCQA6KYQA,Terry,378,21
b0zgSrXBDq8hsamvmjqEqA,George,728,21
bLtvACFk7yj-8Uo1N0BI2w,K,125,7
oVfnZ8K2HISGg40-CJ37GQ,Nina,990,131
-6-wZrgbre_dJj3wO3qtfQ,Sabrina,124,10
wnrHhjDpQk5uLUK7Iku75A,Lauren,321,38
CEZMiWrgtF67m0GUm19ZJA,Tiffany,33,3
Oq1_D-SsKD-g1BaKvOOO0Q,Inga,197,33
XYSDrIef7g4Gmp3lNFVO6A,Neal,4967,442
2OjNNLpCCGrtfQtpcbhlkg,Dee,1114,91
mqhQc_J2AAH9y_O7Pd-8ig,Anthony,8,0
AYRM33lQayNtA6JreR_9Gw,Joe,596,43
ZXCGLSEIJfV_g_MbDs4CYQ,Theresa,166,13
NqBYt9pw7kNoytFQ9ATS-w,Jessie,1160,128
LD8YShoQOdCc8MwlwbLcgg,Heidi,304,10
wAQ25wMBKxtRmBaFBRq5wQ,Cherry,196,20
FXH0V3aHyy1-EIzycMHqDg,Scott,253,10
T3ADVg5Mmy7rTQcUUDcZ0w,Patrice,25,2
btUugfufQAe-QD6gC_Ckmw,Gianna,372,27
0oWnBfUjAv7ZmTWaW8Ufdg,Deann,182,8
R3mPbNP_Ph7Fj7t4pbOwDg,Todd,22,4
ImE1XskvKq0nKJw3zKl5cA,Jess,269,20
FGojSnou5Nt75Inhg1og5w,Kiran,165,3
1ih5oVcSPxjy5_b1STBgyg,Mike,3,0
B-s-8VUnuBjGTP3d01jsyw,Allie,2505,154
WTNE5YK9RTgP5jzStlbWjQ,Sammy,64,7
Fbx7V6PkIuZW8VQsZIdAGg,SuperK,311,35
S1bcv4QpwW7Ysy0T9edlOQ,Kaitlin,267,23
oEgC54C4-OOlByKNs6znNg,Caroline,70,2
cP86_UM0ZL3s5yTmC0R0zQ,James,121,6
M1a8S0nQz2zaO9qBOXGCRA,Laura-Ann,20,3
MbC0xPzIdGkFMCpPb8yWDA,Hideki,1080,122
AJONmAD8t-n1sBoEhxtcGQ,Katherine,222,17
BwC6JnnmWP50MS6UubOv6Q,L,541,48
N9tgUEYnMvdZSDDAZ46sJg,Deborah,796,36
vbEf26yXYP0WBsveEXWIlw,Matt,490,28
8VPCVY70TcE353gRruotWQ,Will,729,31
ltkDTcWk48p5m3TfmzPEuQ,Brian,45,1
B3wkelZcsk_QmIg17QSKMQ,ben,360,17
RB1eNPEDYtrH_azM46IgUA,Caroline,173,19
p7OZx3RIeJPxSM4hP6wqEA,Tyler,773,153
w_Qf4Wz0JykrYJx5mHWBag,Drew,429,11
ps00_kAh92IMjXqTzxuHrw,Jeff,425,33
8sYxA4uN7ICAnpEPmWv0NQ,Larry,98,0
QQtoHnP0cP7nzNnUob_1CQ,Doug,753,60
hVPyu7QWaSQgOlz0rppmkg,Matthew,542,27
vutxpF8i9cRJHc6ahOdJ5g,John,284,13
15Rp70KGPlznq6o7120UYQ,Latoya,492,66
jpjbWxj0rR1PkIymM5FNGQ,Ted,55,2
P-u44KFPjtKEUzXqLkeWOQ,Matt,293,9
glSPs1VycDYLo5DbC5rGrQ,Sunny,189,2
XnbGrJNw0wglmqXekW138Q,Carolyn,451,25
z02XKjGqJMONH59_lUHlTQ,Reem,393,26
Wshkpj8aHWuzIeca1QxWTA,Alexandra,175,28
tx7RTGrlLKBG9c93lnio5Q,Alex,629,34
ie9VaHvAaQgjMJP3Gn-AQQ,John,188,15
s8CI5iAMRD6b5yLn0EG2Tw,Stephanie,20,4
10SurEhzVbX2hM8S3aeQxg,Brian,16,0
g1v5GOPDCX2nwnrAGroCiw,Michael,106,3
46Wi08T5D3phf3SMgi7U3w,Jeff,838,105
mzL0zHFGyd9866OUljq49g,Vinny,802,96
0CL7ncIULe96NbkFCMi6cQ,Carolyn,67,9
AvGJVv7Z3a0q1MJT1Ykd0w,Jim,388,85
D6StlpjEa9ETR_mvaBgdHQ,Dan,171,6
EPeC4E1gzCS3kFlxdMr0fQ,Deborah,273,21
GystmfN65JtL_jVMGxawhg,Shawn,35,2
EdHLoZf007yayX0FKqtA3w,Chris,38,2
oKNSXiAy4_rOaxNejTVF7w,Eugene,387,15
MfAo-QPgFrcziuygx27K5w,Carissa,375,17
qbFaJSmfXjxJKUF_k8HaIg,Steph,122,15
DDJliZbj8VYfwikMQWbrBA,Lydia,141,11
xeThd0Q4EV4mUd9YCc2Ssw,Grace,55,0
B4cnr5d2S_7McR3XBfrscA,Heather,225,15
1wE7oHKgNOLPM0QWS3jm9w,Ed,2288,143
k4hic5RABnLdD-Pwq2Cpng,Jerry,129,4
cKWiQM9AUkV__WSCOvTl5g,Bill,117,6
jAiGoRmj3eAkeH_3KfudXg,Mary,1320,104
SoW_wiVR03AzjhjOyXT-ew,Ryan,62,3
zUKeZNu4tCG56xjwWH54Vw,Bill,2877,681
HDHA_fJ0p60lHqVl3-vkug,Brooke,134,8
MdUimpfJQHijcy1DZu-r4A,Alex,361,14
85hUvyTE0UA7eDMI18OMOQ,Doreen,678,43
HW-QgyCq4DzUQCFRaYn6Fg,Walter,588,38
cVI1vPJM2iNbJbrCU4B9XA,Jennifer,254,14
m6rMc7KfYuaHjcqfnTDSaQ,Alex,36,14
th_t7aq87x6UxjEQLbXeOQ,Chris,61,0
oXLz0_Cx2735wXgEgHr6Yg,David,574,23
24n-CeWJiJMTV1cYvNmezQ,Jon,188,18
067bJ1tiifXyK1pneVQIvg,Andrew,28,0
JIiO4JJqNK1cZTG2IsxX9A,Matthew,141,15
hMBSIj2b9O0cGpaKH6iQJQ,Jon,17,1
df3kNNGt5nykGt4Q6MH1ew,Ruben,532,36
310zgwPQRoe63E1pzzMVPA,Steve,1398,73
_fve2DDscsVRkkJ0wb4BiA,Amy,154,5
iliPyjM1n5TMV6QaCfCNIQ,Harriet,33,7
T9aisv9FFuEbO9hSgi-efw,Michael,153,8
NdSNQXoxiFeNZQ1M6uB9fA,Lisa,687,35
L0yksjKsJrvY6CBGGuX70Q,Mike,80,5
I0Bk9OlkCHbnsZ89HJP0Xw,Dong,148,6
gwFzJWJTDV-VlI00DSYtYQ,Chucky,66,1
gZN4aYXU2zQVAkS81Eeg4Q,Scott,26,2
cFaHx-FkCnzdfF8BccukIg,Morton,987,30
J9gOJk_90vuIzd-ZNUGgyw,Lauren,53,1
P9hbcVoZIPKF4gV8KH427A,Aaliyah,590,79
fYB4nPD2Y0uXXpVo20ZrNg,Abigail,224,28
mDBAmEsyxuVTTT70dK-dqA,Elsie,1843,253
Jtfz1WbIB_FtYDkO3MtRXg,Yolanda,636,20
1vB6Olfkba7Sb-Y6TfiB0Q,Donald,1473,102
BIFv8kH4QqmWzqSGxKcDFg,Christopher,84,11
oeKfqWJc7XA4c8FoUuxAdA,Milkyway,48,0
ah0txJq2kKYqodl_wgc_8Q,Edi,79,5
Fo4zhvaPan-7c-L63BAqYg,Melanie,237,19
EouCKoDfzaVG0klEgdDvCQ,Linda,164,24
bBd8sOgkhbaEeZHjczV8ZQ,Erin,411,49
u9qhYrSC-AVPXgvrLHeQZw,Jill,233,22
HigkMf3t7YE_X0D49Vd7jQ,Kimberly,76,14
I6chm-B8jTr48Ig5EuSynA,David,4,0
LapZhDM1zFbthk-Qz8A1BQ,Dominic,19,0
sZaRJwINk4-V8o06kFeo2A,Bob,302,12
ARHYoKnoKxduWA-cQb4ROQ,Rachel,564,28
vKUlUXLVylwdttu7h1_Y5Q,Travis,880,57
duKhEm4zoR5G2nllvoxqgQ,JJ,90,4
3pabIQceENk9-C3W5AHaRw,Michael,214,12
3_DGUosVKPLSo1hvDSz0tQ,Allison,482,44
tV2_gkppGeXPEdodbwmyBA,David,62,6
BXbVUms8NQn2r5nRruFq2A,Mike,109,4
Pbk_xuk92yOyrUQKkzRThA,Jen,108,27
3yUvDPVrKiytBdVj3PygMg,Eddie,34,1
kqhR7c4ZhWhnkhXNHlt6tA,Liz,174,17
tZC3vUOkJ_uOVLYRs5-q2Q,Mazen,24,3
nwB9EnCqiNNUDrbBRO9K8g,Torin,2,0
dkYUH6i3OZsY7or4_8PTkg,Victor,161,17
3ctvOdmdFP8DBLyUOtC-AA,Jason,233,6
x9rkVoNB92HR_bFOe6MFTQ,Ronald,853,33
vWqJ8gAAjCq6UDT0h4mXZQ,Mike,89,7
POAKZScwldLTMCtvezW5mA,Lisa,2131,199
TMvp5YDUtrwHF4qS1eHseg,Billy,242,24
kaa6i7IHMyYIom7DIul9EQ,Chris,125,6
zqh0Gm8TLOQmU1ayg-DPDg,Michele,221,15
8J5IviWeu2Hc9ccvFGSYCA,Kim,473,74
s_ushMFjAYjIvszJW2gOhQ,Jessica,170,13
reJ7c2yq3f8dODMslzODUQ,Eugene,405,5
x0i6NgHySrXWgb17gVMTuQ,Alice,1474,91
19LahklDf7ElBBliSHhkcg,Jeremy,515,25
EJbvvP-1Tx3Ie2WEN0R2bg,tiffany,40,3
ncAOj5Xz-XS6bpSnTWp3tQ,Austin,3129,340
RVALk-GeKd504Ci-vGSTrw,Amarilys,96,9
_VeoCB55VoN5y3AfADt7Bw,Nicole,932,41
YrlNGnrofZHseVYxrLrvJA,Miriam,925,90
V2s2VCuegQzRvI0DXWk6dQ,Vincent,101,2
b52ZzxrbsAiUDWlllCSslQ,DB,2,3
ljR9jB2n93dR9Ke8gbk3eg,Adrienne,37,3
JJk49Bp27Def-IIYIwHSkw,christina,263,10
M4t4iuq_VtheOHSr0FNlUg,Jason,346,24
MYEl0gEKqmCJdLXngvbvVw,Katie,7,0
q6LCXmcha9yGwANPqwXylA,Chris,10,3
aToXreIHebl82eiRptU1-Q,Rodney,651,21
0_NbnQy2AwOUDtDUr4uDTg,Dave,776,82
N1KrealtMIVX8mpGY6asog,Denise,7,2
_eWo_PSfnSkfkLttJqRhnw,C,247,4
j_orXueAYJBft-VUNbs1IA,Mark,1612,89
rTHpEZa39dcDPMe2EO5xJA,Melissa,10,1
63hpZgj7peTKizDs4zeKZA,Teresa,1276,100
7JgENga1ipXXbPYhIz72sw,David,72,2
h3KYuVHhr59Q-UFloqhLHg,Christopher,386,24
GIDIA7h46PDp2LirqCjtpw,Eric,54,1
xJe2bKX81FeKdBXfDye_7Q,Dave,71,9
BMiWgZMdztFY_p2fUOsDMg,Anthony,39,0
UniMVIU5-JglqwXWVEkvcw,Sierra,32,1
MnYfi2DODiZkLIwJFuwB2g,Bill,2016,217
BXdJB2WLb0oPzTMAEIfsNQ,Nicky,34,1
wUYZerU5QQCy1tWteTMmCg,Brian,219,16
SQinyR2zvyQChsqI-b52KQ,Itusia,248,8
_ZcfXuEo4z4MwZiszdqnHg,Hiu Ting,67,6
Q5Pz9zkosvFT9J_hTQLiLw,Mark,532,46
-CTVKe6KxXl2hPjFKHhxaQ,Ashley,91,6
G2XRG_raVtrrONP4IxF5WA,Cheryl,53,4
uIKD7cJF4ZWkicin2ulWPg,Gina,418,33
tXy_y1V-YjboaLR69U450A,Tania,149,8
jyoRTd9KbwzWI16gh8sdaA,Albert,474,64
1yE_6S_f6w5aEyjle1hzMA,Jason,32,2
R7St_jRlyZ21eusIPi_14A,Mickey,636,40
zaM1hiWPpC3SZJ5hbOHEQw,Alicia,359,13
nDEC-7GY0jSG2PlAnMCeZg,Tamara,93,6
zhDIG_fmwym2xJssR3bmcQ,Ryann,120,7
qfRxXqWTAMZpk6V6RJQTgQ,Jocelyn,175,17
Gsir1XGqHWH0bofE9mbutg,Jordan,48,2
rqY0AQMUtoDQnfgxCNuKgw,Dan,1225,85
K17847uudqPFPIjSPgxs2A,Shane,530,60
VYuuNzTWju8D0rr8SvaZjA,Colleen,533,41
HayM8BOYcuudJ-W6iQ0SkQ,Joanna,173,10
kBFb2l1OmfQ-zLOR1d112Q,Chris,49,1
-ne-7caCLAk2j3kD7tzBGw,Kev,335,6
rAgCPqxaQKgd7XQVhePBeA,Susan,264,16
ppsm8EDKjA1fp1yTCP3RrQ,Steve,1187,87
lRRuTimITgwzoXLIM3g9qw,Tim,478,107
sppG3hwAzwwutTy6vcp4Rw,Daniel,4,0
NuM3yHO4x3hMbcluYHlfsw,Debbie,239,32
-lbNYxWHPkLJYf891XueRQ,Katherine,100,5
0sX4H3xBC41Ggmzj8Mt6LA,Nina,284,33
idIPhxMAWADHMYSx8JL38Q,Chris,46,5
wF4m8NJmxjlaEoSvpQGeMg,Sam,27,4
Br_Smhj4sBAwXDm5G-a8tg,Walt,57,6
2BHVz9wWG2WCJ7neA3cn4w,Megan,662,90
hCVUc1201tujHb6jKkew3g,Julie,54,0
pf06weKNRW1fEEP37DzFjg,Brett,161,9
xyhSarlKcPXRIsinDz7KgA,Lisa,293,11
xZx17dwUwHQmXCXEV4HDEA,Jac,6,0
_UW9Wr5630JiSCnmV2vgbg,Kate,58,3
E4ptx5HC4y-XNdWxgJMZeQ,Brendan,180,9
1sH89m2CFbR703kjJ2vA9w,Emily,195,16
UcnqX5c0CIMC0WZol19Fxg,Megan,31,1
ewChdMLeIAbYgK4qgK1sHA,Steve,76,1
Zu4sWIYqvrixngzqo5qUkw,Neil,41,4
hP3Y6-m1aA_UZaa4X3T1cQ,Malynn,35,7
7FIeTx_TBCiLUpGs1sPJPw,Mitzy,377,43
okgxnJzKI99UfFYluj2UgA,David,41,1
bbmng_ewturYNaS4yql02g,Sarah,68,4
63tvEEkb1-iyBjF9MlkUlQ,Katherine,700,69
0Q1FC3rbRJeHIsYsqxuuww,Jen,534,33
hARwoM8Tc-a8iB-uM2LCXw,Glen,189,9
UuYUTY3XT_WT-JW10r1yQw,Gina,30,1
IChJkuIx5aOSpVgxvtNOoQ,Nicole,67,11
Pq_okYAHQMxr0pxo_A2KDw,Matthew,208,6
5TlamIUKdg_8vJNF7NvHMQ,Felippe,8,0
bXO1UHH1-EqXihImLeTajg,Minsoo,34,0
a5XvEtYqTIHpRarDlJ1v8w,Emily,952,56
2lW97cB_0YSw8mnHrRMWYA,Alycia,72,1
WMkfatZgnJQvRTwKFuzt1Q,David,138,3
XjLvFaNKzzprEDRR-3kxsQ,Michelle,97,2
XT8U_rCZ4c15BoFkDjkOIA,Nicole,244,18
4cjtIaa6FSGaR8up5MYFYQ,Ellen,20,0
hONxT4WCbBuniovq4sB3mQ,Max,62,6
Dy-VyxVZleJmFsgXnkbrQg,Anastasia,59,0
D2wWsR58zfPJP1kk3zK0Yg,Cassie,558,54
ve8TnsDt6kApqTlRQYt3Cg,Andrew,17,0
Hm0diOkWwpo9zotlJlqMUQ,May,2481,634
F1SJ3rfXkiGI5JIvlMOVQQ,Annie,117,13
o3aP96ALmQPRh0p81d5xDQ,Kristen,11,1
K7XacurUg5CYoyqWn_sy4Q,Lauren,89,2
TARsBxeRdV8F7K1QWCSNOg,Tess,76,1
4PFwh5zbgyPhTGRtxkSZZA,Laurie,590,49
6APJlluOroa7JVxZtmt_6A,Josh,1082,109
a82FLFjMK4vVEQGbD-7neQ,Ryan,17,3
Ty52tB-bISNlSSXiEKp55w,Bess,63,3
ySe8n-odnXS40JuW62BP_Q,Dorothygale,176,5
KhhlZrnwPbJsgLN5tNrIFQ,Shannon,187,7
BwLt5mGd50_BCpz65U3dNA,Moses,193,9
yFY8vpUER318VtlT-FV0zA,Scott,22,4
qolJVR7HE5vbvzQppINCCQ,Edward,866,43
dXnlJ6ELbqIAfB79g3t3ag,Acelyn,619,162
FjmgJIvYxt5TTJSToiPn8g,M.,575,15
NQRNKYFQ4lyquI3WGGeKHA,Daniel,281,3
70JHliVId4FzY2_29gocHw,John,526,65
f4agFkng1vcPOeHMZCNbRg,Kate,14,1
oFRwQNRXoo8NfZZbb3aX3Q,Bethany,76,3
vvht176pnRSN7ebiqbSooA,J,34,1
JxI7fGrMcATY3mGUVpAssA,Christian,122,5
EqF-lnxQscooBJtI4i2OnA,Kara,67,2
OTxJnWxf68t1YOjrOp3Vlg,Gwen,68,5
CQ1J7Z2Irj6c19bwi9GhPg,Sam,434,50
OXkKnllDknymNAB89kJQ4w,Cici,81,5
7-ahDxB3qUg6nf3tvfG5Nw,Stephen,100,3
qHgDFY3qmlYAMIymzMqqbQ,Daniella,194,16
HZ4e0fM2n0AEuMwLIs5h4A,MissDimples,8,2
kulfCWCtkSs1tvfArXLDmw,Wendy,309,51
hv2VFkaZpwdVSl-VdNfitw,Sana,114,3
PCTpEXyUif_-Ak8c4aap3w,Jim,26,2
uzK-HIiE07VVW34yrsxsmA,Karl,436,66
pAL87DkCLBtOCjKcGzZiEQ,King,50,20
eS5DgPTNM6QtTRgS80iDtg,Lara,21,2
9p_qyRuFbYUpCbB2Mv9oMQ,Evan,44,5
63RMi-RmPF0n24WLBMyk4w,Matt,19,2
smJlT91x5c9fBOZ2mfmRDQ,Tmarie,9,2
aUzAfmVhcO00uY4aJYTrtg,Lexi,24,2
61FNJUiDqXReViksOYiILQ,Michael,1020,150
2o42X7Sg0tLrlrhrbd43kQ,Bob,62,1
3EMvGJv54k40Ee9KaSY1eA,Betty,210,7
us_egJTmllVdr8fie6LCYg,Mary,109,17
36rYo-dZTwy8LUlmimgdbg,JEAN,193,10
Zu0XNq8YnVBNFfRXuv727A,Paul,279,18
0_FWb5d-EkJVaP0GAr0gcQ,Jeff,101,6
YCgcNT3SYWFR1AuL7KtoyQ,Nisha,68,5
M7XPWbierjOgpEIA7zNpYw,Audrey,256,6
e5Qt-0EpuLmVsPC2Cv3Hyg,Stephen,10,4
UWzAJf1CxoE8UE6i4wmR2A,Kim,525,20
