:START_ID(restaurants),:END_ID(cities)
OEMBtqjWgHvLOCIjhY_7eA,2
PhPokNCiFVdOx8BsdPnqeg,0
zj8HThbzTWvXl7-Dw0_nsQ,0
zz0l4dUf28wzPAaTdGqsSw,0
yzQvpMF2HFZrK4ZL3vV5Ig,0
SYcdJP123caYVCkZ27BIOw,0
BypYxOw7LRO8zjFMxRWdDQ,1
mskYyOH-xVyBlBn9OLqu4Q,5
3P-5sAQoAyKcoO5e4paG7Q,2
-G0iVQaYvpZETVKwPVdR9A,1
58OuqehnPxdFq8gWR_hBRw,0
m7gW3sfkxmIeW3dz5XTzTQ,0
-zngCcpYYPNXEfwv9NJsIA,0
AVYuQ6DTqpqsB141r3lH4w,0
lxWMl4ejGvFmihN-qSTNXw,2
gRHfRxTqaf_oUapIB9MMUA,4
w2LKdmH6Ytez4ptNdO0Vuw,1
sd0AA8okoNnR7ONkF9AWvw,0
TYgc71FqGLGiROceq4TP2A,0
_I4a0zwTEJsvbLVqM5cS_g,0
qljraKzqFlIONICsRtzSnw,1
ML0D_20SZv-Xz0ST74qkuA,3
sl3Lm8ZNuY_oIop0ZFRzuw,2
5Vp6Pz3AVcqbyDj1ynKOTA,0
tuKYmeiSkAURPQnRDCLBxg,2
Ixr2-GfYKatXdq1rZnfHiA,1
wkO1a_i1Mzpd-0sbiLa7EA,0
4C0xj95V8-Mp14OixoTUZA,0
PtVJoVOcsll8TP2HnArLsw,0
UxP1VK4lTLKRu9cgjGhdaw,0
ijJLd8VHB-vPLWmHyyELYQ,1
pkNffAUPpdKaUuUUbhzLmQ,0
5hID2DruRwIwit0BcLHTaw,2
uMoHJJg3zFNjh09WxN8HWA,2
6Ks2A_uQSvMrDa9_wl5aKg,2
4WAgExw8IOQ_mcN1DUy4Iw,0
Co47eJ287hxR-9iqhnswcw,0
DNvMHI_X3PEi9vTmMHO0Yg,2
3VZsvccKrkvmBshoAFrgGw,0
SUththHA3pfnkQT3Tu27IQ,2
nNKZXzq3kT71E6R3JX9RPg,0
KrJcaM7Fh-NClOIXfB-s4g,0
ctppPuguEKktu2X7SaOf-g,0
VlzexKYF6St7-N4tAoGBqg,1
7ABcgM9T7SD7H_-MLy61MQ,0
RKgn1CwGm8FCH0hKOTDG3g,0
TdLZpW0GG0NXsBjtX_SlRg,1
vMWBVI5ky6c1gfuPB7ZTLQ,0
NQkqbnHOPwvaBGdhP_03qA,5
7VrD6atyAIOPJAEdAvsA1g,5
Hx8DHtPTRq-Qa98fRCTofA,2
HBuQAJvypwNerylr03XqQg,1
gAiAwgSFAzT2yFXyL6dVcg,0
T4RdefWsIRfo_36Bv8X15g,0
Te4yTJ7blab4s_JTAF71Iw,0
b9cdwGoH4oetEYA5b1YpDw,1
nUwlAKUoxCJb3SDAxpymbA,0
ByD67fU4LfLkNMpMZXdAYQ,1
5vNalmeJRlPQR0HGfyCq7A,0
enWMHykIbIYAX1ChWQURZA,0
fmM5dA09gigXH0nCb9nEvw,0
qzNMDrjffJGMa1TVgmdS0g,0
pWIO8FCZqnPxTwt7lURk8w,1
YCfMNP_1YCTXTKlrnw44vQ,0
1XJ1kOixnDEfnTrRfyjUiw,0
JEpsrFGIH4ixJJ4q2yUb_A,0
pvwdXO69MQKeAEFwcISnFA,10
FJSIOZotIVrgvqMuBQ7y7w,0
kMVROdQZoNoQBmvvpe78LA,0
IZMHmGH1NbULyreLPx3t9A,0
Qpyp_qwSCxb6a0PsLcJnwA,5
01ikDdFTvc2-YXeyv-YXjg,0
Z4S1pssoLucE1DT7aervXQ,1
yih0BSPRXzPlc8qVNlYs-g,0
K6SQfxBapNAIVr_C73ohlw,0
zVagjsscMqU6ztrFvv6hOg,1
953cL2plLpQtabKer3r9aQ,0
P6DfeEXFpV_Z6RJRMZ6oXQ,0
rBYX6kKsDt24uFdyAEs5iw,0
yBfY-xIpN_OmxyXfoX0bTQ,0
ifGlDvwm_6ralFBNb35Bkg,2
lNi997C0gpQMlKW4LIIdrg,0
PMv1-zywWOnHcmvcnB30HQ,0
B8oETYiwY33NGixjU6Z0oA,2
SWrUyOkijbZPp6If7UMzjw,0
5L918sNOVHcCJKZ7RWATBw,0
RubysERTZxfYrkkzgYOlXg,0
CLUKvU_lTOcCQi6_24lzOg,0
r19qAeTxkc-aes2UVt9v5Q,0
R5yCU9dJnGcXw3voSB7pKg,0
Wy3s-xxiqZBg5Y1eSzI2DQ,0
1MiuGnBgT6beHPfTJiCF7g,0
b9bzEYHseU0ceo7-0XaXqg,9
lm-KtpMuHoPVCkC7zpr_xg,5
i0Q1qSWUsyMJcbcTNJBtIw,0
WroosnY3U0t_Lg1U_3s8AQ,0
YxRqBrepifOBU7KO4b4BDg,0
eZV80xPOehww63KQWdrviQ,0
lqMOJ_cVSvVU-lferJVPLg,0
8MzZuGJVuA_HzzQ-QKDpTg,1
4To3eljiM2DlF-D7Fih8iQ,1
yTVTy75PHthgHH1ZcGVbZg,0
kFx4Nq2WhoIlCx7Adrzo8Q,0
TlaXeIvS_0yQhjWTLHCLSA,0
lwJllJ5e4CLHdliOPEfgGg,0
Wj2Rb6wGmejjYuZgRpNuNw,0
CUckmG16ZfLaLogSDlSNYw,2
YBZHAr2Psvh20BZBv7o6cQ,1
DZUZbsr-a_59zjjPY8rGKQ,0
3qRDGcBOcfFnEfAzVLO6oA,0
J1VMww2sKmYVWETGXR63_A,1
QqN7cWY8DerAsL7kW01UcQ,0
0MivygP7tD4AWbskqYmMuA,0
FNufNXHffHXRUhIqXWNoCQ,0
UI396ToWHWXcDmILMclWcg,11
3N38Hwxvx2Azb2hyLb1vxA,2
_7EnH5l_oCZyu407yuvNEQ,3
VcwdSsoGhQAwo7Th3MWBOw,2
C-rxRVvEs7VrGUwMSngxvA,1
j1e3-hZkEX-mnxuujdKQig,0
UBX73ZWgCdgom4nv0UeGvg,1
XWDbA6RFVBBLjPps-f47Cw,0
-KugJyLmuTECAE121jsCkg,3
-F-30mTCP0dUr_mm57NxUQ,0
ZraQzfGJfnVMbMXZwOQ7Vg,0
MPuoLAmmBvijfXC7JEUsFw,2
-PuFGEYEx1wPjqoxfE_k4Q,0
UXHJCBnu6Ruh4SjLBOyaAA,0
F4cyfaD-SIg2N8r2xIiWjg,0
Y9wxA_5Mwnax3dTLTXxEZg,0
FAvUlfYblxOf6FA4eO-qnA,2
h2TLKm5xuRttX1NJUoYurQ,2
VNf2NwMjjcYVBWGGMigTtA,0
g1o1XGR4vA85paP6G9S9DQ,2
dAYsDKMHLR3eZqn1CP5oJw,0
6zLeYObKM9K4aFcSrhbz_Q,0
J4Lj1Mag6ODDmP0kuRnEZw,0
icydX8ke3jYeam4yL3ap4w,0
QgJv-WSd5IdYTYIaS_RRxQ,0
FjgPNVFrbL924rNUMm8nBg,2
Eggbe8TRDB0wPjqymWMk9Q,12
QZjoE2z7MwKZ8JvzUNzGzw,0
g49GSuIxGFz0Kr9b9qXqJQ,0
Tz36ybiNcF6X9wxEFZ4J4g,0
jVJdCT5lD-DT0LuH1OGVNA,1
F0hePnZFn1Da5bQ-GO5tfA,0
Ve1V5bBuUCz_aB0K5s0x_w,2
Y4nL9U-1fJmGAs5iTlSIXg,0
r08CGs3hygzCtBcmZYpZsg,0
65024MqvGVwOvseDL8l_-w,0
yK8LWJ4VRTYEoGxVYzcjQg,1
3dn-FdMoVBfqkH3SEgecxw,2
gtOVX8hGKKIryQs0lGPt3w,1
ACVar6kJC_P2aDHDBx6N_Q,0
4EffIBpRHXJP0mNZeRAYvA,0
hFMud7XDefdWM1d-p1B2dQ,1
2-yrFS9sCxyKPfr6CnHmTw,0
_wm4lnfN_vWSuXZH3gXq9Q,2
Wbq1ioousibK88FRw3PlDA,0
qwoqt5912WOdHHOtoMUF1A,3
0y5x2QxXdeHvs_m0hoO84Q,3
gemfdRJabGzAqfD1oLLC_A,1
myAaXOSoxfaNnCPTcV4M8w,0
9i784uctK0-_omQcdCcgWA,0
qeBhpLwPn8KZJoHPPSH-sg,2
0HzjYHjeL5GvGHMj9XjO5A,0
jCyQknyt1mkMTBw60-ABUw,0
_LoYXMFxkbmrpAP74d81Dw,1
ylkgMTVWMvliW9x-XlbjvA,0
kvb0a9FiFs9UXWxE6q-5DA,0
Qp_6nULBg80xhx8ksMYAHQ,0
ajFL2FsdDZQwwpiOVeh1nQ,0
-PTWFicakClBDK-zyQ5hjA,1
uPngSFlKQmQT3v8h8aTwmA,0
ERov0fZxnWhM-2GYFY2i9Q,0
xHi_onbMgQqj86HFfDiqsw,1
I3yzZhtKfRMuUHWHDBqHGA,0
v1VKIvac73Fxt6BMiuKiTA,2
HQdoy8OpEuGKM_Op-ovHFQ,1
alM80dgR9izB_svltTw1Nw,1
YkL_44nF4_jUDm3cyq5SJw,0
rl77SOSsmY-jklKpTm3jWw,0
NlkFNuYkreoPvrThNQEvbw,0
EUTf-d0OVBMyPkg3lObG6w,1
X0lMkTXVs3PLcyKzQ6GTcw,0
JogSG9qSX7rRN1qioMhYeg,0
DXdqMi16GRc7oMUSFmjIfA,0
IZgQel8rfyLY8r69GtnUQg,0
adVbOEChtDwsLF6k_Quczw,0
-eKoPT80NewUNc2h-hevdA,0
qCVbvgYjJkdsrSN71Ra0Ew,0
hJ0QkeOdQ5y7MTmdR9NO1Q,4
TU3rjb_t9OVLoxVJpwEhwA,0
T3zMecCY619BrWOg-fi7lA,0
hN4B1kS8J5MQykKxrYXB_g,2
aAPiZY_6_xb2qSMs0ABBpg,2
2ZaldC7ird5-K9sSvK6tIw,0
aiJg1ucX4IoeWFwKTNZcsA,0
yfKe5Ne8oo4jEBXiZvr__g,0
rwPdi2Ept5LcVYIRUjj53Q,0
BKVwN2btBPovpWis42Urlg,0
DZG3652AxmIUGmlF-hg3mw,0
pOQGEGN_UrH8rtKea0WKRA,0
UgdwL5wCdaFe84wmXmwaFg,0
qdKCj1XsTCgTql1iuPB5lg,0
a-YvWwzkAd-w6VWsW0sEhQ,0
Jmk_N22L1iQ6-EZIlexqag,2
qRB4CzTnQy6iOO4D1FT4kg,5
Yh0HF45_lVXa6gSSKsJY1w,1
JCXcdCGpqIRXEGzhPukdsg,2
FyPqFGQXuX7Jkrjm6LoC0Q,0
Y8iVXWq_C-U3POZ6yItw7Q,1
4Co0fjkcBvNpUY1z-tg67g,2
2XEXr1Ba8V8qN4IGADNliA,0
WM18UYsMn4EOwc1s1cCoAg,2
ElEbumta2ujV9PTx4OGbVw,0
gu4TEXWfC69ZVrKDsVPtKQ,0
z-2pRvQXAWqcZdLW2fKj9g,0
NXYydDGZuz3p2AGg4puqig,2
FYOPKSHyRVYwqjNayJdIPA,0
-6eomXaFuOSKPsUbk2A3xQ,5
yFxxhrdtDfmNF4xcXeem8A,0
vep5L_9i_xFaCm2bZvQemg,1
UWQn01BHc7jJnjDx6y-n9Q,1
reHlvRPArBEo4RatrXZQNg,0
8IazNnZkqYlNODBZPS1CGA,2
_ZG6xLrZ7VIfcQS_tl0Mpg,5
Qz6-OxFp9PhGwMZG5geqpw,0
L-NBC1etnxAvHP_u2xo4Ow,0
9pPK-EhpT9jkC7WXdtDM-w,0
iWyYWFXrOvyoxIvUPf8OuA,0
P_nqb7lULOtx3pAJbKfFXA,0
sRJFxyCjZnmXuZLk6uKW6Q,1
cVWOVdiHpPRzuS2FSQUgfA,12
3omPdJWZzRAaNZU4vaovZQ,0
S_i39mHBCZadtvwdC6Hb6Q,0
mcmOeaoHlryrtogjd3tooQ,0
DvKVx_Em_UkG2NPeeKSJzg,0
NTlF55qiq2TCxR_2Kr4NAA,0
015DpGQSGAjbHfa7KE-p5A,2
xSaH011Ov02w-8sxr78M6Q,5
ZjwEfrsA2bztSk9SLrPqPA,0
KzGXMHnlrknUhEjNyD8yZQ,0
2y2LhpdlHuGU6bkAHFSoQg,3
fNd-tOJGusNDcT0Kqzikaw,1
AHQSq5ZdYVQUleXgPwHHhg,0
jAwmIPk8p2c2kxAbL7Ocyw,0
bbm5_njEZyw68E7UUY0xgQ,9
4lVR4qfWaX-wn1v4EakF8A,0
jJKvRg2tYr7qWP-VxdjCTQ,5
PGFzlPVRUz2rpR9DRAU7dQ,0
leaEzQ7Uz_7NID4vpx9RCQ,0
vVLLNrqhvrkVXfIIW9Etag,0
xNZj9zMVY7NizZyBn41BvA,0
Wz687hCcjVyHTCP-jd6U_Q,1
imCIha88DmlxaWpXScRkZw,1
0CeoONLXqseUxPdGerefOQ,0
DoHkrJJVPffu924i6MLtcg,0
j7LZM6rf4Bf33exo6XXKGA,0
RLB-RxkiAcY4pwjTYUzpEA,2
bS2clitvOuAuxFKxA0YnXA,1
71UVaCN8AtyovlqoS0Hixg,0
JaJDxNxLsV4h_Nkt7HsMAA,0
7sdNASlBZhZMQalQUKB4ug,1
Rgp0ZBmxRjf0pqqVnvzm8w,0
jWmg60gRRnNhaHQyc2W8Og,0
bn0XzKxBRBWvnHUMg5cz6g,1
dz3dov1RfT25X_StP__cdQ,0
7NZ8Uq7Xtx4i7MR--1IjNA,0
R36Rhjk95Jh70scUravEQw,1
L7wxBug8MF-Ag-u43DkQpg,0
FtN_ctIlpuTcAInNIMiM1g,0
DCJefHxEStVHnX8acaq0xA,0
jwp7_9S5IslgXnA7udfkYQ,0
qwIF7ZBgyP01Cdt53aYS3w,0
8tccha-xTkuNLiPfJYACXQ,0
mnyk_gnb60vFB2o6Y8c2Gw,0
P7p-rYAkkOnPURxXx3Tg8g,0
N8NB7lMryKMMf6SJUvzYVQ,1
z9xBQXT6Ru19ySOjdGDIqw,0
pOCjLcWQskQjRPi6zdLvAw,0
OwBgQo86CL2GmGX0OIUEEw,1
SwDn4LYC7uzQMmIz8RMBBg,0
leBpyQruds138tREAfRvzA,0
gDc_CGQD__1IqL79TaUKrg,0
prjS_8VAw65e32UtoCj5AA,0
4wvKerRd-Y88IX6E5lCArQ,0
CcxT3qxaAm9_3-q2h9zt_Q,0
15IzVzKuvUCrpM1AFvDT_A,0
n7XtDJQVnxb1UzPPzlOlHQ,0
d6CkVTvgiU-U-kLR1Mj09Q,8
ikqbPYXQNLIvfz0kymBnJA,0
nHHOQf2pjLT5jUvkG-4DHw,13
4orl8-9N6Opr9FJjpsSVCw,5
r3dO-D1qFn4Jct7KDNvImg,0
Wo1nGE9JL8U8MloV1OaiBg,0
vLiXVP1WHdilv13s5SnnQQ,0
PEb_HioboxCfFONLZzVNTQ,2
ZzCcljlsQco6WsRDGaV8mQ,0
skT9ekzLdiQRg6Wo2OzMvg,0
R1NlqZdqYbs-KXLPXROS-w,0
5xIcqp5q-6mw1FKaKpRCxw,7
EQr26hrk8cEYsZjaMVU57g,2
FhI8-M6EYtwfrerkWL_VMg,0
VKUUdRVElaufzQAI4OcxLQ,0
FoIzWtiwffKyfKJHsm7VKQ,1
prGQTaFLeso7Qkzy-lOz2w,1
2b-txFFWmKKq4AL-pnIxZg,1
l0qTrHzfkquC144PkJh4Rw,0
DGatNT8XO1aYuYVYGyWkPQ,0
xHWi7ZQ0zlRoKWlfnmhOYA,0
Y9EfIbXryZVWA3IVx86bAw,1
5oEyGDeqeXeMfFXZdevtFg,5
RO1LyRwH2eZT_eNUN0dC3w,1
rugDoz-A6vL-FG-8PbvOag,1
BEbSlK67eM7YnE9O5R7cGA,0
1h-Irop_Rad5LB9EBf59SA,5
70a-DEnbsZiYIjMaXnO8rQ,0
TwZnsqJCFncURCDQoEypSg,0
J1vj7-l7v4jYXxSR6ffPkA,0
eBo_ZnzWshp5Myx7ugbMhw,0
4mEqLXZD6aU3ymapf_hbIw,0
bKeKYs8NycSzIYvpT_6ncg,0
YSJ2WaubNxMCnlNsZfIQbQ,0
Lb5Gi0VnxwtFXk3sMTSMcQ,0
oa4bCkow1hrF6pqQCT6EGQ,2
e1D2n12gzzsyCdUdas5MKg,0
WjGfcajYECW1zEoinqpc2A,1
IzUXCIMWeocK1fJHdrgJgA,1
oZfUOoDJnORwQrDTqUJ-NA,5
LZquQqjVqoWFhVUqfLxUKw,0
m5fKuw8ZMfYjJLtcISCORg,0
51Fo_uY52A5oaI8YTHU5yg,0
XjaYTbAMsIOkofZJ4QSuJA,0
sy7uEcDtctaeYqD7HGrPCg,2
L3CwFF0JhicaxVfWzzrEAA,0
Qx6IaAjbIECWWaRuqjYMfw,0
K3ZZua4ab6YLhPqZ_DEDlw,4
cbimTBHAiibDpq8O6mP4VQ,2
5QPZY59iu3a0C-jWsZR8ow,0
QOMipQ_Xd2ISvO0MvAS_xQ,0
jQJqbe8WXuQNKlUNXfpXmQ,0
s-0tlWRv3QQnFEzs5CytRw,0
-rf-o_H-3_6XUrSxOLRcpg,1
JgYdYd7qXgFXVjGWFJOz1Q,0
qC8Whdafj7-DQ29b7Rlcdw,0
E9KNLJmufM-fFHV9xJSK4g,2
tpJSzkIvZYvGJB7rekoGjw,0
T3EnbJYkiMHutSxh0asEfA,0
WXVb0_TPSNGjqRshykMY8Q,0
59RdMsr5iXwZnD_qlnPskw,0
dg3w68b9e4pJsdeCv5pHVQ,2
NDk4qwpkU2npNZu742OdBQ,14
v22_o4QdnXqLaXSO9MZE7Q,2
lM5TtwwucIPIzEPeDqDaEw,2
JJF7J3UXCNSwCXAP4LojtQ,2
jXHjuZSgxAPCDZjxBXsPZg,2
7T3curcaRIXUmbXZEE6lVw,2
I99hAdRjOW31DfHW6MUqwg,0
eUes9qc-i7WMkUIdtddNDQ,0
2UPOe4CTsy57JyBWCjNWbQ,0
RjUlQqekSL14zu4rNOZuEQ,9
pn00KcFyvm88u7uwzka7cw,2
IHO1oAX0PrEQo5VYuipX7g,0
8htTVv-lUyz2SUXKcwSC_A,0
LOYex5JW6KuH_4t332wzsQ,0
ULnAfyqr9dL2_yRsHdYFEQ,0
4hWPnJWr1pJYOcI0CGrzWg,0
BJxoz5d_Z45JasgZ7o-5_g,0
pcT9YZDxLYRriQhWz-PnhA,1
DB36BjmWWPkWqESu9tjIaQ,1
MHCH84BAFfYXyY-NujHG7Q,2
gFOs5ho8kuPyYBdVkR3VHA,1
NzuiDTVc1KOBPb-ZJgG2WA,0
u6J-aO61VRmS7NKeBzrSjQ,0
2KnB5sR6QmD8YRcEGsa8ow,0
mHwn3XzGpyTXAe167aHMyA,0
gkZ6iiEfnO7I2UzOHbkzrA,0
4EWOA4I8_oszeXs7_ejJWA,0
CFBnmxqAm4vX6v4BFye70w,0
y_ErDiWeXxyYcL1_U966qQ,0
LI1pBFuAuen2hD2a5rilug,0
BHTpjNMdeja_cg9pRnRBOA,0
CQgXWdtFDfshGMVpWqE15A,1
YiNkf4WpIwLjsJPmgUeCRQ,0
rRWAgAsFhtXbhy8GoSt-TQ,1
sL_JrM7Llw5arZh0-JxZ2g,0
i8uaneoCO8Nd6FVa02PBLw,0
zfZvIjyu_hsnrnDcUZuBqQ,5
OfUF725s1RaoaEOPY3hwZg,0
